2023-08-31T13:43:20.431Z warp-stats: Time since handshake: 116.60s, tx: 33.17MiB, rx: 88.03MiB, loss: 0.0%, latency: 12ms
2023-08-31T13:45:20.432Z warp-stats: Time since handshake: 116.60s, tx: 33.49MiB, rx: 88.32MiB, loss: 0.4%, latency: 78ms
2023-08-31T13:47:20.432Z warp-stats: Time since handshake: 116.57s, tx: 33.65MiB, rx: 88.50MiB, loss: 0.0%, latency: 17ms
2023-08-31T13:49:20.433Z warp-stats: Time since handshake: 116.57s, tx: 33.86MiB, rx: 88.93MiB, loss: 0.0%, latency: 35ms
2023-08-31T13:51:20.434Z warp-stats: Time since handshake: 116.57s, tx: 34.04MiB, rx: 89.09MiB, loss: 0.0%, latency: 13ms
2023-08-31T13:53:20.435Z warp-stats: Time since handshake: 116.57s, tx: 34.26MiB, rx: 89.27MiB, loss: 0.0%, latency: 124ms
2023-08-31T13:55:20.436Z warp-stats: Time since handshake: 116.27s, tx: 34.45MiB, rx: 89.41MiB, loss: 0.0%, latency: 18ms
2023-08-31T13:57:20.435Z warp-stats: Time since handshake: 116.27s, tx: 34.64MiB, rx: 89.58MiB, loss: 0.3%, latency: 106ms
2023-08-31T13:59:20.437Z warp-stats: Time since handshake: 116.24s, tx: 34.87MiB, rx: 89.74MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:01:20.439Z warp-stats: Time since handshake: 116.24s, tx: 35.03MiB, rx: 89.93MiB, loss: 0.0%, latency: 157ms
2023-08-31T14:03:20.427Z warp-stats: Time since handshake: 116.19s, tx: 35.09MiB, rx: 89.97MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:05:20.427Z warp-stats: Time since handshake: 115.90s, tx: 35.23MiB, rx: 90.07MiB, loss: 0.0%, latency: 18ms
2023-08-31T14:07:20.427Z warp-stats: Time since handshake: 115.60s, tx: 35.41MiB, rx: 90.23MiB, loss: 0.0%, latency: 15ms
2023-08-31T14:09:20.427Z warp-stats: Time since handshake: 115.59s, tx: 35.70MiB, rx: 90.48MiB, loss: 0.0%, latency: 13ms
2023-08-31T14:11:20.428Z warp-stats: Time since handshake: 115.29s, tx: 35.91MiB, rx: 90.69MiB, loss: 0.0%, latency: 21ms
2023-08-31T14:13:20.428Z warp-stats: Time since handshake: 115.29s, tx: 36.17MiB, rx: 90.90MiB, loss: 0.0%, latency: 23ms
2023-08-31T14:15:20.429Z warp-stats: Time since handshake: 115.29s, tx: 36.54MiB, rx: 91.19MiB, loss: 0.1%, latency: 23ms
2023-08-31T14:17:20.430Z warp-stats: Time since handshake: 115.28s, tx: 36.87MiB, rx: 91.51MiB, loss: 0.0%, latency: 15ms
2023-08-31T14:19:20.430Z warp-stats: Time since handshake: 115.27s, tx: 37.29MiB, rx: 92.14MiB, loss: 0.1%, latency: 13ms
2023-08-31T14:21:20.431Z warp-stats: Time since handshake: 115.26s, tx: 37.65MiB, rx: 92.51MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:23:20.430Z warp-stats: Time since handshake: 115.25s, tx: 38.42MiB, rx: 93.54MiB, loss: 0.0%, latency: 14ms
2023-08-31T14:25:20.432Z warp-stats: Time since handshake: 115.25s, tx: 39.12MiB, rx: 94.37MiB, loss: 0.0%, latency: 23ms
2023-08-31T14:27:20.432Z warp-stats: Time since handshake: 114.95s, tx: 39.26MiB, rx: 94.51MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:29:20.433Z warp-stats: Time since handshake: 114.95s, tx: 39.63MiB, rx: 94.83MiB, loss: 0.2%, latency: 16ms
2023-08-31T14:31:20.433Z warp-stats: Time since handshake: 114.95s, tx: 40.17MiB, rx: 95.30MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:33:20.432Z warp-stats: Time since handshake: 114.65s, tx: 40.72MiB, rx: 95.81MiB, loss: 0.0%, latency: 14ms
2023-08-31T14:35:20.441Z warp-stats: Time since handshake: 114.66s, tx: 40.98MiB, rx: 96.00MiB, loss: 0.3%, latency: 15ms
2023-08-31T14:37:20.443Z warp-stats: Time since handshake: 114.59s, tx: 41.15MiB, rx: 96.16MiB, loss: 0.0%, latency: 12ms
2023-08-31T14:39:20.445Z warp-stats: Time since handshake: 114.59s, tx: 41.33MiB, rx: 96.32MiB, loss: 0.0%, latency: 14ms
2023-08-31T14:41:20.445Z warp-stats: Time since handshake: 114.59s, tx: 41.43MiB, rx: 96.59MiB, loss: 0.2%, latency: 16ms
2023-08-31T14:43:20.446Z warp-stats: Time since handshake: 114.29s, tx: 41.82MiB, rx: 97.20MiB, loss: 0.1%, latency: 28ms
2023-08-31T14:45:20.445Z warp-stats: Time since handshake: 114.29s, tx: 41.94MiB, rx: 97.78MiB, loss: 0.0%, latency: 15ms
2023-08-31T14:47:20.447Z warp-stats: Time since handshake: 114.29s, tx: 42.03MiB, rx: 97.91MiB, loss: 0.0%, latency: 15ms
2023-08-31T14:49:20.447Z warp-stats: Time since handshake: 114.26s, tx: 42.22MiB, rx: 98.05MiB, loss: 0.0%, latency: 91ms
2023-08-31T14:51:20.448Z warp-stats: Time since handshake: 114.26s, tx: 42.36MiB, rx: 98.19MiB, loss: 0.2%, latency: 22ms
2023-08-31T14:53:20.450Z warp-stats: Time since handshake: 114.25s, tx: 42.48MiB, rx: 98.39MiB, loss: 0.2%, latency: 55ms
2023-08-31T14:55:20.451Z warp-stats: Time since handshake: 114.25s, tx: 42.86MiB, rx: 99.07MiB, loss: 0.0%, latency: 16ms
2023-08-31T14:57:20.450Z warp-stats: Time since handshake: 113.95s, tx: 43.24MiB, rx: 99.37MiB, loss: 0.1%, latency: 110ms
2023-08-31T14:59:20.452Z warp-stats: Time since handshake: 113.95s, tx: 43.70MiB, rx: 99.77MiB, loss: 0.0%, latency: 12ms
2023-08-31T15:01:20.452Z warp-stats: Time since handshake: 113.94s, tx: 43.95MiB, rx: 100.01MiB, loss: 0.1%, latency: 13ms
2023-08-31T15:03:20.459Z warp-stats: Time since handshake: 113.92s, tx: 44.12MiB, rx: 100.21MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:05:20.459Z warp-stats: Time since handshake: 113.91s, tx: 44.28MiB, rx: 100.33MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:07:20.462Z warp-stats: Time since handshake: 113.92s, tx: 44.46MiB, rx: 100.50MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:09:20.463Z warp-stats: Time since handshake: 113.91s, tx: 44.66MiB, rx: 100.64MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:11:20.464Z warp-stats: Time since handshake: 113.91s, tx: 44.74MiB, rx: 100.72MiB, loss: 0.0%, latency: 14ms
2023-08-31T15:13:20.465Z warp-stats: Time since handshake: 113.91s, tx: 44.99MiB, rx: 100.96MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:15:20.466Z warp-stats: Time since handshake: 113.90s, tx: 45.51MiB, rx: 101.39MiB, loss: 0.0%, latency: 13ms
2023-08-31T15:17:20.466Z warp-stats: Time since handshake: 113.88s, tx: 45.77MiB, rx: 101.64MiB, loss: 0.0%, latency: 16ms
2023-08-31T15:19:20.467Z warp-stats: Time since handshake: 113.88s, tx: 45.93MiB, rx: 101.85MiB, loss: 0.0%, latency: 12ms
2023-08-31T15:21:20.469Z warp-stats: Time since handshake: 113.87s, tx: 46.34MiB, rx: 104.31MiB, loss: 0.0%, latency: 12ms
2023-08-31T15:23:20.471Z warp-stats: Time since handshake: 113.87s, tx: 46.50MiB, rx: 104.78MiB, loss: 0.0%, latency: 13ms
2023-08-31T15:25:20.470Z warp-stats: Time since handshake: 113.87s, tx: 46.94MiB, rx: 105.02MiB, loss: 0.0%, latency: 16ms
2023-08-31T15:27:20.472Z warp-stats: Time since handshake: 113.87s, tx: 47.48MiB, rx: 105.49MiB, loss: 0.0%, latency: 14ms
2023-08-31T15:29:20.474Z warp-stats: Time since handshake: 113.86s, tx: 47.82MiB, rx: 106.06MiB, loss: 0.0%, latency: 74ms
2023-08-31T15:31:20.471Z warp-stats: Time since handshake: 113.86s, tx: 48.21MiB, rx: 106.42MiB, loss: 0.0%, latency: 15ms
2023-08-31T15:33:20.472Z warp-stats: Time since handshake: 113.56s, tx: 48.46MiB, rx: 106.64MiB, loss: 0.2%, latency: 12ms
2023-08-31T15:35:20.473Z warp-stats: Time since handshake: 113.56s, tx: 49.06MiB, rx: 107.06MiB, loss: 0.0%, latency: 12ms
2023-08-31T15:37:20.473Z warp-stats: Time since handshake: 113.55s, tx: 49.32MiB, rx: 107.31MiB, loss: 0.0%, latency: 26ms
2023-08-31T15:39:20.472Z warp-stats: Time since handshake: 113.25s, tx: 49.64MiB, rx: 107.57MiB, loss: 0.0%, latency: 16ms
