2023-08-13T17:50:38.731Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T17:52:38.715Z warp-dns-stats: Queries: 236, Success: 77.1%, TimedOut: 0.4%, NoRecordsFound: 22.5%, Other Error: 0.0%, Avg Duration: 67.89ms
2023-08-13T17:54:38.712Z warp-dns-stats: Queries: 55, Success: 83.6%, TimedOut: 0.0%, NoRecordsFound: 16.4%, Other Error: 0.0%, Avg Duration: 6.22ms
2023-08-13T18:06:23.470Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T18:08:23.464Z warp-dns-stats: Queries: 163, Success: 69.3%, TimedOut: 0.6%, NoRecordsFound: 30.1%, Other Error: 0.0%, Avg Duration: 34.83ms
2023-08-13T18:10:23.465Z warp-dns-stats: Queries: 71, Success: 84.5%, TimedOut: 0.0%, NoRecordsFound: 15.5%, Other Error: 0.0%, Avg Duration: 8.03ms
2023-08-13T18:12:23.465Z warp-dns-stats: Queries: 48, Success: 91.7%, TimedOut: 0.0%, NoRecordsFound: 8.3%, Other Error: 0.0%, Avg Duration: 10.52ms
2023-08-13T18:14:23.468Z warp-dns-stats: Queries: 59, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 11.31ms
2023-08-13T18:30:38.429Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T18:46:22.488Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T19:02:42.419Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T19:19:30.873Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T19:37:19.225Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T19:55:10.190Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T20:10:29.447Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T20:16:44.282Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T20:18:44.298Z warp-dns-stats: Queries: 149, Success: 67.1%, TimedOut: 0.7%, NoRecordsFound: 32.2%, Other Error: 0.0%, Avg Duration: 36.51ms
2023-08-13T20:20:44.299Z warp-dns-stats: Queries: 54, Success: 75.9%, TimedOut: 0.0%, NoRecordsFound: 24.1%, Other Error: 0.0%, Avg Duration: 13.57ms
2023-08-13T20:28:30.521Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T20:30:30.522Z warp-dns-stats: Queries: 190, Success: 78.9%, TimedOut: 0.0%, NoRecordsFound: 21.1%, Other Error: 0.0%, Avg Duration: 43.02ms
2023-08-13T20:47:37.523Z warp-dns-stats: Queries: 56, Success: 75.0%, TimedOut: 0.0%, NoRecordsFound: 25.0%, Other Error: 0.0%, Avg Duration: 30.89ms
2023-08-13T20:47:38.264Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T20:59:19.845Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T21:01:19.833Z warp-dns-stats: Queries: 199, Success: 77.9%, TimedOut: 0.0%, NoRecordsFound: 22.1%, Other Error: 0.0%, Avg Duration: 50.92ms
2023-08-13T21:03:19.834Z warp-dns-stats: Queries: 172, Success: 91.3%, TimedOut: 0.0%, NoRecordsFound: 8.7%, Other Error: 0.0%, Avg Duration: 45.98ms
