2023-08-31T12:53:21.795Z warp-dns-stats: Queries: 40, Success: 77.5%, TimedOut: 0.0%, NoRecordsFound: 22.5%, Other Error: 0.0%, Avg Duration: 10.68ms
2023-08-31T12:55:21.793Z warp-dns-stats: Queries: 33, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 20.48ms
2023-08-31T12:57:21.795Z warp-dns-stats: Queries: 38, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 36.13ms
2023-08-31T12:59:21.795Z warp-dns-stats: Queries: 35, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 38.54ms
2023-08-31T13:01:21.793Z warp-dns-stats: Queries: 46, Success: 93.5%, TimedOut: 0.0%, NoRecordsFound: 6.5%, Other Error: 0.0%, Avg Duration: 79.20ms
2023-08-31T13:03:21.795Z warp-dns-stats: Queries: 38, Success: 97.4%, TimedOut: 0.0%, NoRecordsFound: 2.6%, Other Error: 0.0%, Avg Duration: 15.42ms
2023-08-31T13:05:21.794Z warp-dns-stats: Queries: 34, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 18.24ms
2023-08-31T13:07:21.794Z warp-dns-stats: Queries: 42, Success: 92.9%, TimedOut: 0.0%, NoRecordsFound: 7.1%, Other Error: 0.0%, Avg Duration: 47.10ms
2023-08-31T13:09:21.793Z warp-dns-stats: Queries: 33, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 14.97ms
2023-08-31T13:11:21.794Z warp-dns-stats: Queries: 41, Success: 92.7%, TimedOut: 0.0%, NoRecordsFound: 7.3%, Other Error: 0.0%, Avg Duration: 50.24ms
